user,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
user_1,6,5,7,3,7,5,6,2,7,7,10,5,9,9,5,8,4,9,3,5
user_2,7,6,7,2,7,5,5,3,7,6,9,4,8,8,4,7,5,9,3,5
user_3,3,4,8,8,3,3,10,7,6,10,4,9,3,8,6,7,4,7,8,6
user_4,7,8,4,4,4,7,2,8,7,8,5,6,8,7,5,5,9,2,6,6
user_5,3,5,3,7,4,5,3,8,6,4,3,7,5,4,4,8,4,6,6,8
user_6,7,7,8,2,8,4,4,4,8,5,9,5,8,7,4,8,4,10,3,4
user_7,3,7,4,8,4,6,2,7,6,5,3,8,4,5,5,8,6,4,4,10
user_8,3,7,2,8,4,6,2,6,5,5,3,7,3,5,4,9,4,5,4,8
user_9,4,6,4,4,8,10,7,8,3,6,8,3,7,3,8,5,5,7,4,5
user_10,5,7,6,5,8,8,8,8,4,5,7,1,7,3,8,5,5,6,5,5
user_11,6,7,3,8,7,8,5,7,3,5,10,3,7,7,4,5,6,7,2,7
user_12,8,7,4,8,7,10,5,6,5,3,10,2,8,7,5,7,5,6,3,6
user_13,3,4,6,8,7,4,4,4,4,6,2,9,4,6,5,2,6,5,6,5
user_14,7,6,3,7,6,9,5,6,4,4,9,3,8,6,4,6,5,6,3,7
user_15,8,6,2,8,5,10,4,5,4,3,8,4,7,5,4,6,6,7,2,6
user_16,3,5,4,6,3,4,2,6,7,4,3,7,5,3,4,8,5,5,5,10
user_17,3,8,9,5,5,8,2,5,7,8,3,4,7,3,4,5,7,6,9,8
user_18,2,4,7,8,6,4,4,2,3,6,3,8,5,8,4,1,5,6,6,5
user_19,3,2,6,7,1,2,8,8,7,8,3,7,5,9,7,7,5,9,8,8
user_20,7,8,4,3,2,6,4,10,8,9,5,4,6,9,5,4,7,2,7,6
user_21,2,4,6,8,8,4,4,2,4,6,3,8,6,6,5,3,5,5,6,5
user_22,6,7,7,2,6,5,6,2,6,6,9,5,9,9,3,8,5,10,4,4
user_23,3,6,3,8,4,5,2,7,7,4,3,8,5,4,3,10,6,5,5,9
user_24,4,7,4,2,7,10,4,2,9,7,6,7,2,8,10,9,5,4,9,2
user_25,5,7,2,8,5,5,2,7,7,4,3,6,4,3,4,10,6,4,4,10
user_26,4,8,2,4,5,8,3,2,8,7,7,7,3,8,9,8,7,5,10,2
user_27,10,5,7,5,1,7,5,10,4,3,3,3,4,4,4,3,1,9,4,3
user_28,6,10,2,5,2,8,3,9,8,9,5,4,7,8,3,5,7,3,7,6
user_29,4,6,3,7,4,5,2,7,6,5,2,7,4,4,4,9,5,5,5,9
user_30,10,5,5,3,3,8,5,10,4,3,2,3,3,4,5,4,2,10,4,5
user_31,9,5,6,3,2,6,4,8,4,5,1,4,4,5,5,4,3,9,4,3
user_32,7,10,4,4,2,6,3,10,7,9,6,6,7,7,3,4,7,2,7,5
user_33,3,3,7,7,3,2,8,7,7,9,4,9,4,9,5,6,5,9,6,6
user_34,7,7,8,1,8,4,6,2,6,5,9,4,9,7,3,7,5,8,4,4
user_35,9,4,5,3,2,6,4,9,4,5,1,4,3,3,4,5,3,9,3,3
user_36,4,9,4,4,7,10,3,2,7,6,6,5,2,9,9,9,7,3,10,2
user_37,8,10,2,5,3,8,4,8,6,7,6,4,8,7,5,4,9,3,6,5
user_38,2,9,9,6,5,8,2,5,9,10,3,6,5,2,4,4,9,4,8,6
user_39,4,7,4,4,10,9,7,10,4,4,9,2,8,5,10,4,7,7,5,4
user_40,3,7,9,5,5,7,2,4,8,10,3,4,7,2,5,4,7,5,9,8
user_41,6,6,6,5,9,10,7,8,4,6,8,2,6,5,8,4,7,6,5,5
user_42,1,4,7,8,3,4,10,7,6,10,4,7,4,10,5,8,4,9,7,8
user_43,5,8,3,3,6,9,3,3,8,7,6,6,3,8,9,8,6,4,9,2
user_44,4,5,6,7,7,2,3,4,4,7,4,9,6,6,3,3,6,6,8,4
user_45,8,4,7,5,1,8,4,9,2,4,2,2,4,5,4,5,3,9,4,3
user_46,10,4,5,5,1,7,3,8,2,4,1,4,2,3,4,4,2,10,3,5
user_47,7,5,2,7,6,10,6,7,4,4,10,4,7,7,3,6,4,7,2,6
user_48,3,3,8,9,2,4,8,9,5,8,4,7,3,9,7,6,5,8,8,6
user_49,2,3,7,8,2,2,8,9,7,8,2,7,3,10,7,8,6,8,6,8
user_50,6,7,4,8,5,10,6,6,5,3,9,2,7,7,4,6,5,5,4,6
user_51,3,7,7,6,4,6,3,4,8,10,1,6,7,3,5,4,7,6,9,6
user_52,1,9,8,5,3,7,4,5,7,9,1,4,5,1,4,6,8,4,10,6
user_53,4,6,4,8,3,6,2,8,5,4,1,8,5,4,4,10,4,4,5,8
user_54,6,9,3,3,5,8,3,3,8,8,6,5,4,9,10,7,7,5,9,2
user_55,6,8,3,4,7,8,3,4,9,8,7,7,4,9,8,8,5,4,9,1
user_56,8,6,8,3,8,4,6,3,8,6,9,5,9,8,3,8,6,8,2,5
user_57,4,6,6,8,7,2,3,4,5,8,2,8,6,7,4,3,4,5,7,6
user_58,7,7,2,8,7,8,5,7,3,3,8,3,8,7,5,5,5,5,3,8
user_59,3,7,9,6,3,8,3,5,8,10,2,5,7,1,4,5,7,6,8,8
user_60,6,9,2,3,2,7,4,10,7,9,5,4,6,8,3,4,8,3,8,6
user_61,6,8,4,3,6,9,2,4,7,6,6,7,3,9,9,9,5,3,9,1
user_62,7,7,8,1,7,6,4,3,7,7,9,4,8,8,4,6,5,8,4,6
user_63,4,8,6,4,8,9,6,8,2,6,7,3,6,5,10,4,7,6,5,3
user_64,7,6,3,6,6,9,4,5,3,3,10,2,9,7,3,7,6,7,2,6
user_65,3,8,8,7,4,8,3,4,8,8,2,6,6,1,4,6,9,5,10,6
user_66,5,8,4,2,7,9,2,3,8,6,6,7,4,8,8,9,6,5,8,1
user_67,8,5,6,2,6,6,5,4,6,5,9,3,9,9,5,6,6,8,4,4
user_68,9,5,6,4,2,7,4,9,3,4,2,3,3,4,5,4,2,9,3,4
user_69,4,4,8,9,6,3,3,2,4,6,3,8,4,7,3,1,6,6,6,4
user_70,4,4,8,8,7,4,4,3,3,6,3,8,5,7,3,3,5,5,7,5
user_71,7,9,3,4,3,7,3,9,7,8,5,5,7,8,4,4,8,3,7,5
user_72,8,7,2,8,6,10,4,6,4,3,9,2,7,7,3,7,4,5,4,6
user_73,2,8,8,6,4,7,3,4,8,9,2,5,6,2,5,5,8,5,9,7
user_74,6,6,8,1,6,4,5,4,6,6,9,4,8,7,4,7,4,9,2,6
user_75,8,6,4,7,5,8,5,7,3,3,8,3,9,5,5,5,4,6,3,7
user_76,5,6,4,5,9,9,8,9,4,4,8,2,8,5,9,4,5,8,4,4
user_77,1,4,8,8,3,4,8,8,5,8,2,8,3,8,7,8,4,7,7,8
user_78,6,6,4,5,8,8,7,8,2,4,8,2,6,5,9,4,7,8,4,5
user_79,4,4,7,8,7,3,3,4,5,8,3,8,4,6,4,3,6,7,6,4
user_80,4,7,4,6,4,5,2,7,6,4,2,8,5,4,3,8,6,5,5,10
user_81,2,3,7,8,2,3,9,8,6,9,3,8,4,9,6,7,5,8,7,7
user_82,4,8,3,3,6,8,3,4,9,7,5,5,4,7,10,8,5,4,10,1
user_83,9,5,7,4,1,8,3,8,2,3,3,4,2,4,6,4,1,10,3,3
user_84,8,10,2,4,3,7,3,10,6,9,5,5,7,7,4,4,8,3,6,5
user_85,3,6,8,9,8,2,3,2,3,8,4,9,4,8,3,1,4,7,6,4
user_86,5,7,5,4,9,9,7,9,3,5,8,2,7,4,9,4,6,7,4,4
user_87,6,8,6,4,10,8,7,10,3,4,9,1,6,4,9,4,7,6,4,4
user_88,8,4,6,5,1,6,5,10,3,5,1,2,4,5,5,5,1,10,3,3
user_89,1,2,7,7,3,4,8,9,5,10,2,7,5,9,7,6,6,7,8,8
user_90,4,7,5,3,9,8,8,10,3,4,9,1,8,5,8,5,7,7,3,4
user_91,3,9,8,6,5,8,2,4,7,10,1,4,5,3,6,4,9,5,8,7
user_92,7,10,2,3,4,6,3,8,6,8,6,4,6,9,5,3,8,2,7,5
user_93,8,10,2,3,4,6,2,10,6,9,6,5,7,9,4,3,8,3,8,6
user_94,3,5,7,8,7,3,3,3,4,7,3,8,5,7,4,2,5,6,7,5
user_95,2,9,9,5,3,7,4,5,9,10,1,4,6,3,4,6,8,4,10,6
user_96,6,6,6,1,6,4,4,4,6,6,9,4,8,8,5,6,5,8,3,6
user_97,4,6,4,6,4,5,2,7,6,6,2,7,3,5,5,8,4,5,4,8
user_98,3,4,7,7,1,2,10,7,5,9,3,7,3,8,7,7,5,7,6,7
user_99,3,5,7,8,6,3,3,4,5,8,4,7,5,7,3,2,5,5,7,4
user_100,10,6,6,4,1,7,3,9,3,3,2,2,4,4,6,4,3,10,4,3
